V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,variable,scales,labels,min,max,rev,na,wn,ka,scalenumber,nown,noka,q_text,q_cate
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,ges_per_gefahr,5,Gesundheitliche Gefahr: Fuer mich persoenlich,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die gesundheitliche Gefahr ein, welche von dem Coronavirus für Sie persönlich ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,ges_pub_gefahr,5,Gesundheitliche Gefahr: Fuer die oesterreichische Bevoelkerung,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die gesundheitliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,wir_per_gefahr,5,Wirtschaftliche Gefahr: Fuer mich persoenlich,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die wirtschaftliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,wir_pub_gefahr,5,Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie groß schätzen Sie die wirtschaftliche Gefahr ein, welche von dem Coronavirus für die österreichische Bevölkerung ausgeht?",Gefahrenwahrnehmung
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,wochentag,10,Auswirkungen: Vergesse Wochentag,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu?	Ich vergesse manchmal, welcher Wochentag ist.",Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,kontakt,10,Auswirkungen: Fehlt Kontakt,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Mir fehlt der Kontakt zu anderen Menschen.,Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,zeit,10,"Auswirkungen: Dinge tun, fuer die sonst keine Zeit",1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Ich kann Dinge tun, für die ich sonst keine Zeit habe.",Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,konflikt,10,Auswirkungen: Konflikte in Beziehung/Familie,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Ich habe mehr Konflikte in meiner Beziehung / Familie. ,Auswirkungen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,kinder,10,Aussage: Kinderbetreuung stellt Problem dar,1,5,1,6,V6,V7,4,no WN option,no KA option,Wie stark trifft folgende Aussage auf Ihre Erfahrungen in der letzten Woche zu? Die Kinderbetreuung stellt ein Problem für mich dar.,Auswirkungen
nie,an manchen Tagen,mehrmals die Woche,beinahe jeden Tag,taeglich,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,depress_A1,14,Depressivitaet: ruhig und gelassen,1,5,0,6,V6,V7,4,no WN option,no KA option,Wie oft waren Sie in der letzten Woche ruhig und gelassen?,Emotionen
