wave,condition,measurement,n,n_se,prop,ymax,ymin
W1,Für die österr. Bevölkerung,sehr groß,291.0612907707691,19.25380975299815,0.18964007940041142,0.19201645255629157,0.18726370624453126
W1,Für die österr. Bevölkerung,groß,599.2752333581448,27.324804465093468,0.39045591578250505,0.3917016370126205,0.3892101945523896
W1,Für die österr. Bevölkerung,mittelmäßig,552.7978494763374,27.993377514294448,0.3601737207632747,0.3615351899332638,0.3588122515932856
W1,Für die österr. Bevölkerung,klein,64.41051089763641,9.50687198945805,0.0419664681912953,0.047938625629257076,0.03599431075333352
W1,Für die österr. Bevölkerung,sehr klein,27.26406353712082,6.288721498531731,0.01776381586251354,0.027175114322137497,0.008352517402889578
W2,Für die österr. Bevölkerung,sehr groß,210.4933184236288,16.337220663010932,0.13599418365558552,0.13896102682628395,0.1330273404848871
W2,Für die österr. Bevölkerung,groß,562.0763548016548,26.245522793468155,0.36314271443771234,0.3644809776650231,0.3618044512104016
W2,Für die österr. Bevölkerung,mittelmäßig,630.9085793048143,28.981805144539777,0.407613400018649,0.408788349220642,0.40643845081665597
W2,Für die österr. Bevölkerung,klein,115.92619010806084,13.22934006841103,0.0748968551881513,0.07917737446223387,0.07061633591406873
W2,Für die österr. Bevölkerung,sehr klein,28.40674138069153,6.185007093131474,0.018352846699901847,0.027528601169781643,0.009177092230022051
W3,Für die österr. Bevölkerung,sehr groß,122.66753536462784,11.898767376794858,0.08266218424804062,0.08687632626416303,0.0784480422319182
W3,Für die österr. Bevölkerung,groß,545.4668982923031,26.5876736987066,0.36757472230788374,0.3689524700559926,0.3661969745597749
W3,Für die österr. Bevölkerung,mittelmäßig,629.0772303640842,27.64708974804703,0.42391736141132164,0.4250859926575398,0.42274873016510345
W3,Für die österr. Bevölkerung,klein,162.85903272032738,15.210082041272239,0.10974609809489441,0.11329547934116663,0.1061967168486222
W3,Für die österr. Bevölkerung,sehr klein,23.891244024038315,5.891638953908596,0.016099633937859594,0.02634143722295052,0.005857830652768665
W4,Für die österr. Bevölkerung,sehr groß,110.38207674026489,11.732698369758602,0.07281041907358295,0.07725287183800375,0.06836796630916214
W4,Für die österr. Bevölkerung,groß,431.5665640980005,24.109945961137534,0.2846706939937422,0.2864040416563887,0.28293734633109563
W4,Für die österr. Bevölkerung,mittelmäßig,731.70354154706,31.074057163444746,0.48264757350984405,0.4836103433303669,0.4816848036893212
W4,Für die österr. Bevölkerung,klein,200.01742535829544,15.98731728986858,0.13193584495266344,0.13502558159468298,0.12884610831064391
W4,Für die österr. Bevölkerung,sehr klein,42.35073858499527,8.044700339848017,0.02793546847016737,0.035454608260914705,0.020416328679420028
W5,Für die österr. Bevölkerung,sehr groß,84.39578431844711,10.309139565834439,0.05645083231138461,0.0616572023070467,0.05124446231572252
W5,Für die österr. Bevölkerung,groß,390.0290289670229,22.17792338511181,0.260883449198268,0.2627805715061925,0.2589863268903435
W5,Für die österr. Bevölkerung,mittelmäßig,714.5036818087101,30.61034702680719,0.4779187474040001,0.4789088192985409,0.4769286755094593
W5,Für die österr. Bevölkerung,klein,239.44116306304932,17.99942609512993,0.16015791610530294,0.16290916002451497,0.15740667218609092
W5,Für die österr. Bevölkerung,sehr klein,66.66205108165741,9.427231228330095,0.04458905498104433,0.05052079004640635,0.03865731991568232
W6,Für die österr. Bevölkerung,sehr groß,66.70520432293415,8.389886317609033,0.04351153985687359,0.04937397854656653,0.03764910116718065
W6,Für die österr. Bevölkerung,groß,366.4004851281643,21.28746855943126,0.23900158127168258,0.24099172376516917,0.237011438778196
W6,Für die österr. Bevölkerung,mittelmäßig,700.2659361064434,30.645699297750514,0.45678068898187196,0.4578082843509113,0.4557530936128326
W6,Für die österr. Bevölkerung,klein,310.39633175730705,20.387681784366855,0.20247029445110235,0.20473633155457202,0.20020425734763267
W6,Für die österr. Bevölkerung,sehr klein,89.27832287549973,11.168778274613004,0.05823589543846948,0.06322528667725828,0.053246504199680675
W7,Für die österr. Bevölkerung,sehr groß,56.029553294181824,7.801297084342771,0.03729529144504095,0.04379896912988894,0.030791613760192963
W7,Für die österr. Bevölkerung,groß,280.140662625432,18.710628733340023,0.18647172864944658,0.18892959955165864,0.18401385774723453
W7,Für die österr. Bevölkerung,mittelmäßig,708.9325613677502,30.807410177036136,0.4718910813418027,0.4728940688726193,0.47088809381098606
W7,Für die österr. Bevölkerung,klein,334.83949206769466,20.472990703545086,0.22288124230451276,0.2250287936131185,0.220733690995907
W7,Für die österr. Bevölkerung,sehr klein,122.38017198443413,13.448703216553742,0.08146065625919703,0.08565937445864023,0.07726193805975383
W8,Für die österr. Bevölkerung,sehr groß,53.90919291973114,8.021444642958823,0.03637522008199453,0.04305718229977553,0.029693257864213528
W8,Für die österr. Bevölkerung,groß,233.9495712518692,17.067226506939807,0.157857439176395,0.16066062546989418,0.15505425288289582
W8,Für die österr. Bevölkerung,mittelmäßig,687.0538609325886,30.084420178081153,0.4635894927386276,0.46463140069671666,0.46254758478053853
W8,Für die österr. Bevölkerung,klein,363.68259677290916,21.810705452470085,0.2453947792782467,0.24740936623127668,0.24338019232521674
W8,Für die österr. Bevölkerung,sehr klein,143.43547919392586,13.62837814751407,0.09678306872473619,0.10062271526323736,0.09294342218623501
W9,Für die österr. Bevölkerung,sehr groß,60.70624861121178,8.812861424191748,0.041041291804941316,0.04731368237936026,0.03476890123052237
W9,Für die österr. Bevölkerung,groß,233.9125337600708,16.932318746961737,0.15813977596216058,0.16094497142801703,0.15533458049630414
W9,Für die österr. Bevölkerung,mittelmäßig,663.3340955078602,29.926732539985355,0.4484561112029728,0.4495474605699068,0.4473647618360388
W9,Für die österr. Bevölkerung,klein,370.052947640419,21.89312902521929,0.25017936958443765,0.2521658090533214,0.24819293011555385
W9,Für die österr. Bevölkerung,sehr klein,151.1447065770626,14.542840181251078,0.10218345144548763,0.1059051485061513,0.09846175438482395
W10,Für die österr. Bevölkerung,sehr groß,55.66477653384209,8.061626458479292,0.03769201532233122,0.044270325847732606,0.03111370479692983
W10,Für die österr. Bevölkerung,groß,191.6830025166273,15.04018180136282,0.12979336517222326,0.1329990520859683,0.12658767825847822
W10,Für die österr. Bevölkerung,mittelmäßig,605.1868650317192,28.23832469525936,0.4097871941654361,0.41101083622763246,0.4085635521032397
W10,Für die österr. Bevölkerung,klein,447.1329726278782,24.55606817673441,0.3027649422999712,0.30444665337078713,0.30108323122915526
W10,Für die österr. Bevölkerung,sehr klein,177.16444063186646,15.113015244701973,0.11996248304003825,0.12333460617076275,0.11659035990931374
W11,Für die österr. Bevölkerung,sehr groß,66.33587363362312,9.233158897486426,0.0444439417873455,0.05039603979269199,0.03849184378199901
W11,Für die österr. Bevölkerung,groß,192.99612000584602,15.40104626741189,0.12930421886199076,0.13248387591484143,0.12612456180914008
W11,Für die österr. Bevölkerung,mittelmäßig,651.5721516907215,29.72299972283953,0.4365426004628656,0.4376624713621787,0.4354227295635525
W11,Für die österr. Bevölkerung,klein,392.6715648919344,22.854270130741565,0.26308347528504256,0.26497012684298255,0.26119682372710257
W11,Für die österr. Bevölkerung,sehr klein,188.9983272254467,16.01889375390038,0.1266257636027556,0.12984875781942512,0.12340276938608608
W12,Für die österr. Bevölkerung,sehr groß,79.04768419265747,9.386349517782532,0.05259533001934875,0.05798269046743967,0.04720796957125783
W12,Für die österr. Bevölkerung,groß,301.1970070004463,19.372434673386504,0.20040506114535925,0.20273438459361126,0.19807573769710723
W12,Für die österr. Bevölkerung,mittelmäßig,678.5313703119755,30.74824981164662,0.45146903055452453,0.4525336668667951,0.450404394242254
W12,Für die österr. Bevölkerung,klein,327.5001340955496,20.906002682586728,0.21790616398268098,0.2200910974149789,0.21572123055038306
W12,Für die österr. Bevölkerung,sehr klein,116.66492414474487,12.420576383596241,0.07762441429808646,0.08194181875614169,0.07330700984003123
W13,Für die österr. Bevölkerung,sehr groß,99.19196355342865,10.76129056854647,0.06582170507380421,0.07055751126077639,0.061085898886832024
W13,Für die österr. Bevölkerung,groß,366.88482239842415,22.016466335577576,0.2434570675975834,0.2454512785508541,0.2414628566443127
W13,Für die österr. Bevölkerung,mittelmäßig,682.8800928294659,30.029445045525296,0.4531448966304838,0.45420147675037925,0.45208831651058834
W13,Für die österr. Bevölkerung,klein,259.36975595355034,18.61823377898475,0.17211232613863353,0.17470778495251613,0.16951686732475094
W13,Für die österr. Bevölkerung,sehr klein,98.65291619300842,11.857792661412615,0.06546400455949508,0.0702145498369047,0.060713459282085463
W14,Für die österr. Bevölkerung,sehr groß,122.32452830672264,12.383349781018707,0.08001053941202584,0.08418018337284877,0.0758408954512029
W14,Für die österr. Bevölkerung,groß,397.08161583542824,22.44822850627089,0.2597248051014589,0.2615870045886314,0.2578626056142864
W14,Für die österr. Bevölkerung,mittelmäßig,649.1310636848211,30.663107560505726,0.42458636279630185,0.4257184681646497,0.423454257427954
W14,Für die österr. Bevölkerung,klein,233.10017485916615,17.56699683456174,0.15246713791329164,0.15524978508107296,0.14968449074551032
W14,Für die österr. Bevölkerung,sehr klein,127.21780571341515,13.967546410516126,0.08321115477692179,0.08728559795836613,0.07913671159547744
W15,Für die österr. Bevölkerung,sehr groß,157.11544147133827,13.713865760510076,0.10050591638693665,0.10406330512864197,0.09694852764523133
W15,Für die österr. Bevölkerung,groß,416.1458014547825,23.09586020141631,0.2662062667686234,0.2679894406322695,0.26442309290497734
W15,Für die österr. Bevölkerung,mittelmäßig,682.7014705240726,32.08005985422517,0.4367205175453637,0.43778920562031454,0.4356518294704128
W15,Für die österr. Bevölkerung,klein,188.18953008949757,15.242976619052886,0.12038384641857339,0.12356246133850257,0.1172052314986442
W15,Für die österr. Bevölkerung,sehr klein,119.093455016613,12.564435949943642,0.07618345288050289,0.08037992401097932,0.07198698175002646
W16,Für die österr. Bevölkerung,sehr groß,192.24293211102486,16.122220472626246,0.11667544996714099,0.11975165821803885,0.11359924171624314
W16,Für die österr. Bevölkerung,groß,535.0484523028135,26.927360329584424,0.32472985217786865,0.32613947076470623,0.32332023359103107
W16,Für die österr. Bevölkerung,mittelmäßig,601.0113559961319,28.509282201285927,0.3647638413864412,0.3660150061201649,0.36351267665271747
W16,Für die österr. Bevölkerung,klein,215.79307858645916,16.635411067088732,0.13096842764200553,0.13382494864839625,0.1281119066356148
W16,Für die österr. Bevölkerung,sehr klein,103.57669621706009,11.241158492397249,0.06286242882654361,0.06730866927571216,0.05841618837737506
W17,Für die österr. Bevölkerung,sehr groß,317.35799691081047,20.88279777930457,0.20077932736919615,0.20299106104908224,0.19856759368931007
W17,Für die österr. Bevölkerung,groß,594.5692688077688,28.42708234143393,0.3761594761362453,0.3774207610439463,0.3748981912285443
W17,Für die österr. Bevölkerung,mittelmäßig,463.5170469582081,25.570112850969224,0.2932481356018257,0.29486649492101213,0.2916297762826393
W17,Für die österr. Bevölkerung,klein,128.0753820091486,13.079237140240235,0.08102801663314176,0.085031244277123455,0.07702478898916006
W17,Für die österr. Bevölkerung,sehr klein,77.11114549636841,9.64675289049855,0.04878504425959111,0.05412528626247899,0.04344480225670323
W18,Für die österr. Bevölkerung,sehr groß,189.45358572900295,15.850425129499657,0.12231807917302169,0.12549375176389577,0.11914240658214761
W18,Für die österr. Bevölkerung,groß,519.5825780034065,26.63008682306741,0.3354612828709002,0.3369132038530234,0.334009361888777
W18,Für die österr. Bevölkerung,mittelmäßig,599.8171175271273,28.83810743401624,0.3872636001514593,0.38850958923018947,0.3860176110727291
W18,Für die österr. Bevölkerung,klein,164.3371372371912,14.432974280859682,0.10610199266642444,0.10957471526654437,0.1026292700663045
W18,Für die österr. Bevölkerung,sehr klein,75.66962745785713,10.14190937516151,0.048855045138194414,0.054300521706144106,0.04340956857024472
